row_id,category,dt,dx,dy,dz,dt_abs,r,s2,interval_class,dt_dir,axis,r_mult,mean_l_AA,mean_l_AB,mean_l_BA,mean_l_BB,mean_gap_A,mean_gap_B,mean_p_A_B,mean_p_B_A,frac_AB_lt_AA,frac_BA_lt_BB,frac_AB_lt_0,frac_BA_lt_0
47,time_only,-256.0,0.0,0.0,0.0,256.0,0.0,65536.0,timelike,past,,,-45.75153904838305,-45.55879458183261,-45.551586318291605,-45.751539048383066,0.19274446655043592,0.19995273009145814,0.5390481613013776,0.5403508852669928,0.4296875,0.4453125,1.0,1.0
48,time_only,256.0,0.0,0.0,0.0,256.0,0.0,65536.0,timelike,future,,,-45.75153904838305,-45.55158631829161,-45.558794581832615,-45.75153904838306,0.19995273009145687,0.19274446655043664,0.5403508852669924,0.5390481613013774,0.4453125,0.4296875,1.0,1.0
49,mixed,-64.0,32.0,0.0,0.0,64.0,32.0,3072.0,timelike,past,x,0.5,-45.75153904838305,-45.696140046586315,-45.69621271653079,-45.751539048383066,0.0553990017967495,0.05532633185226582,0.5138249641098893,0.5138073188613843,0.265625,0.2734375,1.0,1.0
50,mixed,-64.0,0.0,32.0,0.0,64.0,32.0,3072.0,timelike,past,y,0.5,-45.75153904838305,-45.696497740298376,-45.69589869337825,-45.751539048383066,0.05504130808467406,0.05564035500482356,0.5137344408329078,0.5138854069123227,0.296875,0.296875,1.0,1.0
51,mixed,-64.0,0.0,0.0,32.0,64.0,32.0,3072.0,timelike,past,z,0.5,-45.75153904838305,-45.69661314403536,-45.69658826187792,-45.751539048383066,0.05492590434767436,0.05495078650510604,0.5137065748623874,0.5137150697544364,0.2890625,0.28125,1.0,1.0
52,mixed,-64.0,64.0,0.0,0.0,64.0,64.0,0.0,null,past,x,1.0,-45.75153904838305,-45.558694463596666,-45.55954939911725,-45.751539048383066,0.19284458478639416,0.19198964926578138,0.5479682880214066,0.5477516368403271,0.0078125,0.0078125,1.0,1.0
53,mixed,-64.0,0.0,64.0,0.0,64.0,64.0,0.0,null,past,y,1.0,-45.75153904838305,-45.55946611880547,-45.558995050035456,-45.751539048383066,0.19207292957759592,0.19254399834761493,0.5477709997748827,0.5478893002795334,0.0234375,0.015625,1.0,1.0
54,mixed,-64.0,0.0,0.0,64.0,64.0,64.0,0.0,null,past,z,1.0,-45.75153904838305,-45.56050572134563,-45.56114116891408,-45.751539048383066,0.19103332703740428,0.1903978794689679,0.5475175803669566,0.5473674392861255,0.0234375,0.0234375,1.0,1.0
55,mixed,-64.0,128.0,0.0,0.0,64.0,128.0,-12288.0,spacelike,past,x,2.0,-45.75153904838305,-45.04665473637509,-45.048966255138545,-45.751539048383066,0.7048843120079713,0.7025727932445016,0.6680600316853974,0.6674997993412903,0.0,0.0,1.0,1.0
56,mixed,-64.0,0.0,128.0,0.0,64.0,128.0,-12288.0,spacelike,past,y,2.0,-45.75153904838305,-45.04867183229727,-45.048464680997256,-45.751539048383066,0.7028672160857936,0.703074367385769,0.6676775136247245,0.6677232521926935,0.0,0.0,1.0,1.0
57,mixed,-64.0,0.0,0.0,128.0,64.0,128.0,-12288.0,spacelike,past,z,2.0,-45.75153904838305,-45.05383366055097,-45.05552109039871,-45.751539048383066,0.6977053878320678,0.6960179579843355,0.6664300964749393,0.6660888486411849,0.0,0.0,1.0,1.0
58,mixed,64.0,32.0,0.0,0.0,64.0,32.0,3072.0,timelike,future,x,0.5,-45.75153904838305,-45.69541429310185,-45.6969384700153,-45.751539048383066,0.0561247552812425,0.05460057836777282,0.5140069671230241,0.5136252914366207,0.2578125,0.2890625,1.0,1.0
59,mixed,64.0,0.0,32.0,0.0,64.0,32.0,3072.0,timelike,future,y,0.5,-45.75153904838305,-45.69577198681389,-45.69662444686274,-45.751539048383066,0.055767061569167053,0.05491460152033073,0.5139166515519293,0.5137031601866769,0.2890625,0.296875,1.0,1.0
60,mixed,64.0,0.0,0.0,32.0,64.0,32.0,3072.0,timelike,future,z,0.5,-45.75153904838305,-45.69588739055087,-45.69731401536245,-45.751539048383066,0.05565165783216697,0.05422503302061371,0.5138894029493832,0.5135322070039581,0.2734375,0.2890625,1.0,1.0
61,mixed,64.0,64.0,0.0,0.0,64.0,64.0,0.0,null,future,x,1.0,-45.75153904838305,-45.55796871011217,-45.56027515260177,-45.751539048383066,0.19357033827088638,0.19126389578128833,0.5481458394763687,0.5475735661401855,0.0078125,0.0078125,1.0,1.0
